"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cellular metabolic process","GO:0044237","1","0","1870","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular component biogenesis","GO:0044085","1","0","443","5","3","2939","Q8IAM3,Q8IBM7,Q8IHQ8"
"GO:BP","protein-containing complex organization","GO:0043933","1","0","235","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","macromolecule metabolic process","GO:0043170","1","0","1585","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular component assembly","GO:0022607","1","0","263","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","ribonucleoprotein complex assembly","GO:0022618","1","0","89","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","ribonucleoprotein complex biogenesis","GO:0022613","1","0","272","5","3","2939","Q8IAM3,Q8IBM7,Q8IHQ8"
"GO:BP","ribosomal large subunit biogenesis","GO:0042273","1","0","56","5","1","2939","Q8IHQ8"
"GO:BP","ncRNA metabolic process","GO:0034660","1","0","285","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","nucleobase-containing compound catabolic process","GO:0034655","1","0","90","5","1","2939","Q8IJU3"
"GO:BP","cellular nitrogen compound metabolic process","GO:0034641","1","0","1214","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","ncRNA processing","GO:0034470","1","0","238","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","DNA duplex unwinding","GO:0032508","1","0","44","5","1","2939","Q8IJU3"
"GO:BP","aromatic compound catabolic process","GO:0019439","1","0","91","5","1","2939","Q8IJU3"
"GO:BP","primary metabolic process","GO:0044238","1","0","1821","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular macromolecule metabolic process","GO:0044260","1","0","1099","5","1","2939","Q8IJU3"
"GO:BP","organic substance catabolic process","GO:1901575","1","0","303","5","1","2939","Q8IJU3"
"GO:BP","organic cyclic compound catabolic process","GO:1901361","1","0","93","5","1","2939","Q8IJU3"
"GO:BP","organic cyclic compound metabolic process","GO:1901360","1","0","971","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","nucleic acid metabolic process","GO:0090304","1","0","818","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular component organization or biogenesis","GO:0071840","1","0","735","5","4","2939","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3"
"GO:BP","ribonucleoprotein complex subunit organization","GO:0071826","1","0","92","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","organic substance metabolic process","GO:0071704","1","0","1884","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","DNA conformation change","GO:0071103","1","0","48","5","1","2939","Q8IJU3"
"GO:BP","cellular catabolic process","GO:0044248","1","0","296","5","1","2939","Q8IJU3"
"GO:BP","organelle assembly","GO:0070925","1","0","90","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","protein-containing complex assembly","GO:0065003","1","0","203","5","2","2939","Q8IAM3,Q8IHQ8"
"GO:BP","regulation of macromolecule metabolic process","GO:0060255","1","0","305","5","1","2939","Q8IJU3"
"GO:BP","chromosome organization","GO:0051276","1","0","131","5","1","2939","Q8IJU3"
"GO:BP","regulation of biological process","GO:0050789","1","0","568","5","1","2939","Q8IJU3"
"GO:BP","negative regulation of biological process","GO:0048519","1","0","126","5","1","2939","Q8IJU3"
"GO:BP","heterocycle catabolic process","GO:0046700","1","0","93","5","1","2939","Q8IJU3"
"GO:BP","heterocycle metabolic process","GO:0046483","1","0","969","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular nitrogen compound catabolic process","GO:0044270","1","0","93","5","1","2939","Q8IJU3"
"GO:BP","rRNA metabolic process","GO:0016072","1","0","164","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","cellular macromolecule catabolic process","GO:0044265","1","0","222","5","1","2939","Q8IJU3"
"GO:BP","biological regulation","GO:0065007","1","0","667","5","1","2939","Q8IJU3"
"GO:BP","mRNA metabolic process","GO:0016071","1","0","201","5","1","2939","Q8IJU3"
"GO:BP","negative regulation of metabolic process","GO:0009892","1","0","98","5","1","2939","Q8IJU3"
"GO:BP","cellular component organization","GO:0016043","1","0","560","5","3","2939","Q8IAM3,Q8IHQ8,Q8IJU3"
"GO:BP","negative regulation of gene expression","GO:0010629","1","0","66","5","1","2939","Q8IJU3"
"GO:BP","negative regulation of macromolecule metabolic process","GO:0010605","1","0","96","5","1","2939","Q8IJU3"
"GO:BP","regulation of gene expression","GO:0010468","1","0","252","5","1","2939","Q8IJU3"
"GO:BP","gene expression","GO:0010467","1","0","946","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular process","GO:0009987","1","0","2641","5","5","2939","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"GO:BP","macromolecule catabolic process","GO:0009057","1","0","233","5","1","2939","Q8IJU3"
"GO:BP","catabolic process","GO:0009056","1","0","331","5","1","2939","Q8IJU3"
"GO:BP","metabolic process","GO:0008152","1","0","1965","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","biological_process","GO:0008150","1","0","2934","5","5","2939","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"GO:BP","organelle organization","GO:0006996","1","0","411","5","3","2939","Q8IAM3,Q8IHQ8,Q8IJU3"
"GO:BP","nitrogen compound metabolic process","GO:0006807","1","0","1752","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","cellular aromatic compound metabolic process","GO:0006725","1","0","964","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","mRNA catabolic process","GO:0006402","1","0","59","5","1","2939","Q8IJU3"
"GO:BP","RNA catabolic process","GO:0006401","1","0","67","5","1","2939","Q8IJU3"
"GO:BP","RNA processing","GO:0006396","1","0","407","5","3","2939","Q8IAM3,Q8IBM7,Q8IM49"
"GO:BP","rRNA processing","GO:0006364","1","0","161","5","2","2939","Q8IAM3,Q8IBM7"
"GO:BP","nucleobase-containing compound metabolic process","GO:0006139","1","0","930","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:BP","nuclear-transcribed mRNA catabolic process","GO:0000956","1","0","38","5","1","2939","Q8IJU3"
"GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184","1","0","10","5","1","2939","Q8IJU3"
"GO:BP","ribosomal small subunit assembly","GO:0000028","1","0","13","5","1","2939","Q8IAM3"
"GO:BP","ribosomal large subunit assembly","GO:0000027","1","0","23","5","1","2939","Q8IHQ8"
"GO:BP","RNA metabolic process","GO:0016070","1","0","676","5","4","2939","Q8IAM3,Q8IBM7,Q8IJU3,Q8IM49"
"GO:CC","small-subunit processome","GO:0032040","0.00029023654385044377","3.537247906187039","34","5","3","3609","Q8IAM3,Q8IBM7,Q8IM49"
"GO:CC","nucleolus","GO:0005730","0.0002916943922480736","3.5350719200010903","129","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","nuclear lumen","GO:0031981","0.006057418514276459","2.2177124193758653","276","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","preribosome","GO:0030684","0.006339244332422726","2.1979625089666297","94","5","3","3609","Q8IAM3,Q8IBM7,Q8IM49"
"GO:CC","intracellular organelle lumen","GO:0070013","0.022483321069162215","1.6481395376100327","385","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","organelle lumen","GO:0043233","0.02271324127328728","1.6437208857424719","386","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","membrane-enclosed lumen","GO:0031974","0.02271324127328728","1.6437208857424719","386","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","intracellular non-membrane-bounded organelle","GO:0043232","0.09551194203286326","1.019942324387649","558","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","non-membrane-bounded organelle","GO:0043228","0.09617597574430305","1.0169333989050362","559","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","Pwp2p-containing subcomplex of 90S preribosome","GO:0034388","0.371760271247583","0.42973702365463035","7","5","1","3609","Q8IAM3"
"GO:CC","ribonucleoprotein complex","GO:1990904","0.42272892324782985","0.3739380365873508","395","5","3","3609","Q8IAM3,Q8IBM7,Q8IM49"
"GO:CC","nucleus","GO:0005634","0.7090748742028394","0.14930790341179634","944","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","protein-containing complex","GO:0032991","1","0","1107","5","3","3609","Q8IAM3,Q8IBM7,Q8IM49"
"GO:CC","90S preribosome","GO:0030686","1","0","24","5","1","3609","Q8IAM3"
"GO:CC","cytoplasm","GO:0005737","1","0","1856","5","1","3609","Q8IJU3"
"GO:CC","intracellular anatomical structure","GO:0005622","1","0","2540","5","5","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"GO:CC","cellular_component","GO:0005575","1","0","3593","5","5","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"GO:CC","organelle","GO:0043226","1","0","2238","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","membrane-bounded organelle","GO:0043227","1","0","2050","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","intracellular organelle","GO:0043229","1","0","2189","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","1","0","1970","5","4","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IM49"
"GO:CC","nuclear protein-containing complex","GO:0140513","1","0","323","5","1","3609","Q8IAM3"
"GO:CC","cellular anatomical entity","GO:0110165","1","0","3529","5","5","3609","Q8IAM3,Q8IBM7,Q8IHQ8,Q8IJU3,Q8IM49"
"KEGG","Ribosome biogenesis in eukaryotes","KEGG:03008","0.3995652729829953","0.39841226420789644","40","1","1","1056","Q8IAM3"
"KEGG","KEGG root term","KEGG:00000","1","0","1056","1","1","1056","Q8IAM3"
"REAC","rRNA processing","REAC:R-PFA-72312","0.48132851212071076","0.3175584115619238","132","2","2","898","Q8IAM3,Q8IBM7"
"REAC","rRNA processing in the nucleus and cytosol","REAC:R-PFA-8868773","0.48132851212071076","0.3175584115619238","132","2","2","898","Q8IAM3,Q8IBM7"
"REAC","Major pathway of rRNA processing in the nucleolus and cytosol","REAC:R-PFA-6791226","0.48132851212071076","0.3175584115619238","132","2","2","898","Q8IAM3,Q8IBM7"
"REAC","Metabolism of RNA","REAC:R-PFA-8953854","1","0","209","2","2","898","Q8IAM3,Q8IBM7"
"REAC","REACTOME root term","REAC:0000000","1","0","898","2","2","898","Q8IAM3,Q8IBM7"
